Transaction ID,Product Category,Quantity Sold,Sale Amount,Payment Method,Sale Date
TXN5098,Beauty,1.0,,,2024/10/11
TXN5099,Electronics,13.0,808.72,cash ,2024-10-18
TXN5100,,14.0,2407.2,Mobile Pay,2024.10.25
TXN5101,Beauty,8.0,2493.47,Cash,2024/10/31
TXN5102,,13.0,1222.75,Mobile Pay,07 Nov 2024
TXN5103,Sports,12.0,813.41,Credit Card,2024-11-13
TXN5104,Clothing,2.0,2434.0,cash ,2024-11-20
TXN5105,,4.0,2496.82,Mobile Pay,2024-11-27
TXN5106,Beauty,2.0,1121.35,Cash,2024-12-03
TXN5107,Sports,6.0,126.19,credit card,2024-12-10
TXN5108,Groceries,14.0,1125.95,Cash,2024-12-17
TXN5109,Groceries,9.0,1779.78,credit card,2024-12-23
TXN5110,Sports,1.0,1570.79,Credit Card,2024-12-30
TXN5111,,4.0,1681.56,Mobile Pay,2025-01-05
TXN5112,Furniture,7.0,2430.22,credit card,12 Jan 2025
TXN5113,Electronics,10.0,1660.0,cash ,2025-01-19
TXN5114,Electronics,5.0,242.25,Mobile Pay,2025-01-25
TXN5115,Electronics,7.0,1480.48,credit card,2025-02-01
TXN5116,Furniture,13.0,540.78,Cash,2025-02-08
TXN5117,Beauty,12.0,1990.76,Debit Card,2025-02-14
TXN5118,Electronics,8.0,885.51,Mobile Pay,2025-02-21
TXN5119,Clothing,10.0,1263.55,cash ,2025/02/28
