record_key,change_type,column_name,old_value,new_value
TXN5082,modified,Sale Date,27/06/2024,2024-06-27
TXN5083,modified,Product Category,<MISSING>,Electronics
TXN5083,modified,Quantity Sold,13.0,13
TXN5083,modified,Sale Amount,<MISSING>,1213.8
TXN5084,modified,Quantity Sold,8.0,8
TXN5084,modified,Sale Amount,<MISSING>,1254.85
TXN5085,modified,Product Category,<MISSING>,Electronics
TXN5085,modified,Quantity Sold,5.0,5
TXN5086,modified,Product Category,<MISSING>,Electronics
TXN5086,modified,Quantity Sold,6.0,6
TXN5087,modified,Quantity Sold,4.0,4
TXN5088,modified,Quantity Sold,6.0,6
TXN5088,modified,Payment Method,credit card,Credit Card
TXN5089,modified,Quantity Sold,-10.0,5
TXN5090,modified,Quantity Sold,9.0,9
TXN5091,modified,Quantity Sold,4.0,4
TXN5091,modified,Payment Method,credit card,Credit Card
TXN5092,modified,Quantity Sold,6.0,6
TXN5092,modified,Sale Amount,<MISSING>,1018.98
TXN5092,modified,Payment Method,<MISSING>,Credit Card
TXN5093,modified,Quantity Sold,-1.0,5
TXN5093,modified,Payment Method,credit card,Credit Card
TXN5093,modified,Sale Date,2024.09.08,2024-09-08
TXN5094,modified,Quantity Sold,11.0,11
TXN5094,modified,Payment Method,credit card,Credit Card
TXN5094,modified,Sale Date,15/09/2024,2024-09-15
TXN5095,modified,Quantity Sold,2.0,2
TXN5095,modified,Sale Amount,<MISSING>,1095.09
TXN5095,modified,Payment Method,credit card,Credit Card
TXN5095,modified,Sale Date,09-21-2024,2024-09-21
TXN5096,modified,Product Category,<MISSING>,Electronics
TXN5096,modified,Quantity Sold,7.0,7
TXN5096,modified,Sale Date,09-28-2024,2024-09-28
TXN5097,modified,Quantity Sold,-1.0,7
TXN5097,modified,Sale Amount,<MISSING>,1282.71
TXN5098,modified,Quantity Sold,1.0,1
TXN5098,modified,Sale Amount,<MISSING>,1225.65
TXN5098,modified,Payment Method,<MISSING>,Credit Card
TXN5098,modified,Sale Date,2024/10/11,2024-10-11
TXN5099,modified,Quantity Sold,13.0,13
TXN5099,modified,Payment Method,cash,Cash
TXN5100,modified,Product Category,<MISSING>,Electronics
TXN5100,modified,Quantity Sold,14.0,14
TXN5100,modified,Sale Date,2024.10.25,2024-10-25
TXN5101,modified,Quantity Sold,8.0,8
TXN5101,modified,Sale Date,2024/10/31,2024-10-31
TXN5102,modified,Product Category,<MISSING>,Electronics
TXN5102,modified,Quantity Sold,13.0,13
TXN5102,modified,Sale Date,07 Nov 2024,2024-11-07
TXN5103,modified,Quantity Sold,12.0,12
TXN5104,modified,Quantity Sold,2.0,2
TXN5104,modified,Payment Method,cash,Cash
TXN5105,modified,Product Category,<MISSING>,Electronics
TXN5105,modified,Quantity Sold,4.0,4
TXN5106,modified,Quantity Sold,2.0,2
TXN5107,modified,Quantity Sold,6.0,6
TXN5107,modified,Payment Method,credit card,Credit Card
TXN5108,modified,Quantity Sold,14.0,14
TXN5109,modified,Quantity Sold,9.0,9
TXN5109,modified,Payment Method,credit card,Credit Card
TXN5110,modified,Quantity Sold,1.0,1
TXN5111,modified,Product Category,<MISSING>,Electronics
TXN5111,modified,Quantity Sold,4.0,4
TXN5112,modified,Quantity Sold,7.0,7
TXN5112,modified,Payment Method,credit card,Credit Card
TXN5112,modified,Sale Date,12 Jan 2025,2025-01-12
TXN5113,modified,Quantity Sold,10.0,10
TXN5113,modified,Payment Method,cash,Cash
TXN5114,modified,Quantity Sold,5.0,5
TXN5115,modified,Quantity Sold,7.0,7
TXN5115,modified,Payment Method,credit card,Credit Card
TXN5116,modified,Quantity Sold,13.0,13
TXN5117,modified,Quantity Sold,12.0,12
TXN5118,modified,Quantity Sold,8.0,8
TXN5119,modified,Quantity Sold,10.0,10
TXN5119,modified,Payment Method,cash,Cash
TXN5119,modified,Sale Date,2025/02/28,2025-02-28
